,class,arm,sum,n,sum2,round,mean
0,C1,A1,0.0,0,0.0,0,
1,C1,A2,0.0,0,0.0,0,
2,C1,A3,0.0,0,0.0,0,
3,C1,A4,0.0,0,0.0,0,
4,C1,A5,0.0,0,0.0,0,
5,C1,A6,0.0,0,0.0,0,
6,C2,A1,0.0,0,0.0,0,
7,C2,A2,0.0,0,0.0,0,
8,C2,A3,0.0,0,0.0,0,
9,C2,A4,0.0,0,0.0,0,
10,C2,A5,0.0,0,0.0,0,
11,C2,A6,0.0,0,0.0,0,
0,C1,A1,0.0,0,0.0,1,
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,1,-0.5391213314074506
2,C1,A3,0.0,0,0.0,1,
3,C1,A4,0.0,0,0.0,1,
4,C1,A5,0.0,0,0.0,1,
5,C1,A6,0.0,0,0.0,1,
6,C2,A1,0.0,0,0.0,1,
7,C2,A2,0.0,0,0.0,1,
8,C2,A3,0.0,0,0.0,1,
9,C2,A4,0.0,0,0.0,1,
10,C2,A5,148.90449458353942,1,22172.548507179315,1,148.90449458353942
11,C2,A6,0.0,0,0.0,1,
0,C1,A1,0.0,0,0.0,2,
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,2,-0.5391213314074506
2,C1,A3,0.0,0,0.0,2,
3,C1,A4,0.0,0,0.0,2,
4,C1,A5,52.358577411164255,1,2741.42062852088,2,52.358577411164255
5,C1,A6,0.0,0,0.0,2,
6,C2,A1,0.0,0,0.0,2,
7,C2,A2,0.0,0,0.0,2,
8,C2,A3,40.4644692420393,1,1637.3732710399445,2,40.4644692420393
9,C2,A4,0.0,0,0.0,2,
10,C2,A5,148.90449458353942,1,22172.548507179315,2,148.90449458353942
11,C2,A6,0.0,0,0.0,2,
0,C1,A1,0.0,0,0.0,3,
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,3,-0.5391213314074506
2,C1,A3,0.0,0,0.0,3,
3,C1,A4,0.0,0,0.0,3,
4,C1,A5,52.358577411164255,1,2741.42062852088,3,52.358577411164255
5,C1,A6,65.80396568703554,1,4330.161900140552,3,65.80396568703554
6,C2,A1,0.0,0,0.0,3,
7,C2,A2,0.0,0,0.0,3,
8,C2,A3,40.4644692420393,1,1637.3732710399445,3,40.4644692420393
9,C2,A4,-51.04143162213104,1,2605.2277420366786,3,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,3,148.90449458353942
11,C2,A6,0.0,0,0.0,3,
0,C1,A1,0.0,0,0.0,4,
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,4,-0.5391213314074506
2,C1,A3,31.37668938700339,1,984.4966368884908,4,31.37668938700339
3,C1,A4,0.0,0,0.0,4,
4,C1,A5,52.358577411164255,1,2741.42062852088,4,52.358577411164255
5,C1,A6,65.80396568703554,1,4330.161900140552,4,65.80396568703554
6,C2,A1,0.0,0,0.0,4,
7,C2,A2,0.0,0,0.0,4,
8,C2,A3,88.9015808750177,2,3983.527054385557,4,44.45079043750885
9,C2,A4,-51.04143162213104,1,2605.2277420366786,4,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,4,148.90449458353942
11,C2,A6,0.0,0,0.0,4,
0,C1,A1,0.0,0,0.0,5,
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,5,-0.5391213314074506
2,C1,A3,31.37668938700339,1,984.4966368884908,5,31.37668938700339
3,C1,A4,0.0,0,0.0,5,
4,C1,A5,52.358577411164255,1,2741.42062852088,5,52.358577411164255
5,C1,A6,111.2135151928228,2,6392.189086459097,5,55.6067575964114
6,C2,A1,0.0,0,0.0,5,
7,C2,A2,53.87452016311582,1,2902.4639228059723,5,53.87452016311582
8,C2,A3,88.9015808750177,2,3983.527054385557,5,44.45079043750885
9,C2,A4,-51.04143162213104,1,2605.2277420366786,5,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,5,148.90449458353942
11,C2,A6,0.0,0,0.0,5,
0,C1,A1,9.933995359779082,1,98.68426380811235,6,9.933995359779082
1,C1,A2,-0.5391213314074506,1,0.2906518099785421,6,-0.5391213314074506
2,C1,A3,31.37668938700339,1,984.4966368884908,6,31.37668938700339
3,C1,A4,0.0,0,0.0,6,
4,C1,A5,52.358577411164255,1,2741.42062852088,6,52.358577411164255
5,C1,A6,111.2135151928228,2,6392.189086459097,6,55.6067575964114
6,C2,A1,0.0,0,0.0,6,
7,C2,A2,37.91582323947875,2,3157.1439303064753,6,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,6,44.45079043750885
9,C2,A4,-51.04143162213104,1,2605.2277420366786,6,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,6,148.90449458353942
11,C2,A6,0.0,0,0.0,6,
0,C1,A1,9.933995359779082,1,98.68426380811235,7,9.933995359779082
1,C1,A2,28.548853061914077,2,846.4009061165076,7,14.274426530957038
2,C1,A3,31.37668938700339,1,984.4966368884908,7,31.37668938700339
3,C1,A4,0.0,0,0.0,7,
4,C1,A5,52.358577411164255,1,2741.42062852088,7,52.358577411164255
5,C1,A6,111.2135151928228,2,6392.189086459097,7,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,7,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,7,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,7,44.45079043750885
9,C2,A4,-51.04143162213104,1,2605.2277420366786,7,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,7,148.90449458353942
11,C2,A6,0.0,0,0.0,7,
0,C1,A1,17.37385720903893,2,154.03580814418453,8,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,8,14.274426530957038
2,C1,A3,31.37668938700339,1,984.4966368884908,8,31.37668938700339
3,C1,A4,0.0,0,0.0,8,
4,C1,A5,52.358577411164255,1,2741.42062852088,8,52.358577411164255
5,C1,A6,111.2135151928228,2,6392.189086459097,8,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,8,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,8,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,8,44.45079043750885
9,C2,A4,-51.04143162213104,1,2605.2277420366786,8,-51.04143162213104
10,C2,A5,148.90449458353942,1,22172.548507179315,8,148.90449458353942
11,C2,A6,5.783168122467487,1,33.445033532724125,8,5.783168122467487
0,C1,A1,17.37385720903893,2,154.03580814418453,9,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,9,14.274426530957038
2,C1,A3,31.37668938700339,1,984.4966368884908,9,31.37668938700339
3,C1,A4,0.0,0,0.0,9,
4,C1,A5,100.76565704405613,2,5084.6659871060165,9,50.38282852202806
5,C1,A6,111.2135151928228,2,6392.189086459097,9,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,9,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,9,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,9,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,9,-38.47747211735696
10,C2,A5,148.90449458353942,1,22172.548507179315,9,148.90449458353942
11,C2,A6,5.783168122467487,1,33.445033532724125,9,5.783168122467487
0,C1,A1,17.37385720903893,2,154.03580814418453,10,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,10,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,10,27.91986348731895
3,C1,A4,0.0,0,0.0,10,
4,C1,A5,100.76565704405613,2,5084.6659871060165,10,50.38282852202806
5,C1,A6,111.2135151928228,2,6392.189086459097,10,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,10,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,10,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,10,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,10,-38.47747211735696
10,C2,A5,178.6497243717871,2,23057.327202334982,10,89.32486218589355
11,C2,A6,5.783168122467487,1,33.445033532724125,10,5.783168122467487
0,C1,A1,17.37385720903893,2,154.03580814418453,11,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,11,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,11,27.91986348731895
3,C1,A4,0.0,0,0.0,11,
4,C1,A5,152.10753166817838,3,7720.654077025105,11,50.70251055605946
5,C1,A6,111.2135151928228,2,6392.189086459097,11,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,11,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,11,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,11,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,11,-38.47747211735696
10,C2,A5,252.52180278488612,3,28514.41117140603,11,84.1739342616287
11,C2,A6,5.783168122467487,1,33.445033532724125,11,5.783168122467487
0,C1,A1,17.37385720903893,2,154.03580814418453,12,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,12,14.274426530957038
2,C1,A3,55.8397269746379,2,1582.9368449025094,12,27.91986348731895
3,C1,A4,48.210556293649425,1,2324.25773814314,12,48.210556293649425
4,C1,A5,152.10753166817838,3,7720.654077025105,12,50.70251055605946
5,C1,A6,111.2135151928228,2,6392.189086459097,12,55.6067575964114
6,C2,A1,-31.524456935193342,1,993.7913850588595,12,-31.524456935193342
7,C2,A2,37.91582323947875,2,3157.1439303064753,12,18.957911619739374
8,C2,A3,88.9015808750177,2,3983.527054385557,12,44.45079043750885
9,C2,A4,-76.95494423471392,2,3276.7378779591704,12,-38.47747211735696
10,C2,A5,308.55494557093675,4,31654.12426188796,12,77.13873639273419
11,C2,A6,5.783168122467487,1,33.445033532724125,12,5.783168122467487
0,C1,A1,17.37385720903893,2,154.03580814418453,13,8.686928604519466
1,C1,A2,28.548853061914077,2,846.4009061165076,13,14.274426530957038
